адский вепрь; адские вепри
аминокс; аминоксы
боёк; бойки
ворин; ворины
гнаут; гнауты
гривастый пёс; гривастые псы
древко; древки
дубина из мегакости; дубины из мегакости
дунбер; дунберы
жар-сердце; жар-сердца
каприяк; каприяки
когтевая сабля; когтевые сабли
лезвие; лезвия
лютокон; лютоконы
мегакость; мегакости
моховой олень; моховые олени
навершие; навершия
наркопаук; наркопауки
орёл-исполин; орлы-исполины
основание; основания
пластомамонт-вожак; пластомамонты-вожаки
пластомамонт; пластомамонты
пластошкура; пластошкуры
рапторхан; рапторханы
сиватерий; сиватерии
симбакуб-вожак; симбакубы-вожаки
симбакуб; симбакубы
скародон; скародоны
скорпион; скорпионы
спорокрот; спорокроты
сумеркорог; сумеркороги
трубка небесного пера; трубки небесного пера
ударная часть; ударные части
шерстебегемот; шерстебегемоты
